x,y,w,h,Distance Bottom,Distance Top,area,Target Class
155,0,59,94,38.0,38.0,1319.0,LD
56,49,47,64,52.0,3.0,1066.5,LD
0,41,38,81,61.0,20.0,728.5,LD
111,0,53,106,45.0,45.0,1441.5,LD
0,0,68,100,50.0,50.0,1675.5,LD
33,4,83,21,11.0,7.0,245.5,LD
0,0,25,29,15.0,15.0,154.0,LD
0,0,39,61,31.0,31.0,622.0,LD
0,27,37,34,31.0,4.0,351.5,LD
61,6,9,52,28.0,22.0,287.5,LD
96,0,39,59,29.0,29.0,1181.5,LD
0,40,25,11,22.0,18.0,106.5,LD
40,0,41,59,30.0,30.0,1169.5,LD
0,35,31,9,18.0,17.0,102.0,LD
34,0,14,52,26.0,26.0,205.5,LD
0,27,33,35,31.0,4.0,279.0,LD
110,7,33,46,22.0,15.0,457.5,LD
43,4,49,40,13.0,9.0,758.0,LD
153,0,33,49,18.0,18.0,878.5,LD
0,9,38,45,27.0,18.0,1017.5,LD
61,0,28,49,22.0,22.0,531.0,LD
0,0,39,53,27.0,27.0,1106.5,LD
60,13,55,55,32.0,19.0,1182.5,LD
0,0,55,72,36.0,36.0,824.5,LD
63,2,37,68,32.0,30.0,783.0,LD
0,0,55,76,38.0,38.0,2261.5,LD
0,29,31,22,19.0,10.0,202.5,LD
95,14,44,35,17.0,3.0,460.0,LD
172,8,43,57,33.0,25.0,1005.5,LD
42,0,28,59,27.0,27.0,593.5,LD
0,4,12,43,20.0,16.0,162.0,LD
91,3,36,52,28.0,25.0,510.5,LD
32,0,32,55,28.0,28.0,750.5,LD
98,12,34,46,29.0,17.0,328.5,LD
52,6,27,48,25.0,19.0,629.5,LD
0,0,35,57,28.0,28.0,946.5,LD
0,0,41,64,32.0,32.0,468.5,LD
103,51,56,4,28.0,23.0,90.0,LD
0,49,71,5,27.0,22.0,84.0,LD
0,5,30,43,21.0,16.0,293.5,LD
38,0,106,48,21.0,21.0,954.5,LD
86,3,42,52,20.0,17.0,1442.0,LD
0,0,54,71,36.0,36.0,557.0,LD
0,58,95,17,38.0,20.0,560.5,LD
0,34,15,6,3.0,31.0,47.0,LD
32,0,44,59,22.0,22.0,774.0,LD
138,47,67,3,25.0,22.0,85.0,LD
108,41,38,2,18.0,23.0,26.0,LD
0,41,81,2,18.0,23.0,41.5,LD
128,14,37,7,4.0,18.0,163.5,LD
202,2,70,44,21.0,19.0,949.5,LD
169,0,29,37,12.0,12.0,470.0,LD
0,4,45,31,17.0,13.0,404.5,LD
54,0,37,36,18.0,18.0,301.0,LD
0,3,32,48,26.0,23.0,612.0,LD
54,0,9,43,18.0,18.0,218.0,LD
40,29,7,6,4.0,25.0,20.0,LD
53,3,13,58,30.0,27.0,267.5,LD
98,0,26,63,32.0,32.0,505.0,LD
53,24,8,11,11.0,13.0,52.0,LD
0,2,29,47,25.0,23.0,452.0,LD
