x,y,w,h,distance,class
0,0,48,47,7,LD
43,0,60,55,21,LD
82,0,35,45,24,LD
35,0,30,70,0,LD
,,,,,
22,0,33,60,0,LD
47,0,32,67,0,LD
0,0,40,71,10,LD
36,0,27,65,0,LD
0,0,55,73,0,LD
63,0,34,66,61,LD
,,,,,
0,0,40,54,0,LD
89,0,34,52,0,LD
35,0,40,55,12,LD
41,0,39,64,0,LD
,,,,,
,,,,,
0,0,42,95,0,LD
0,0,41,91,0,LD
,,,,,
0,0,30,86,0,LD
95,0,39,81,0,LD
8,0,22,44,15,LD
,,,,,
40,0,5,49,0,LD
,,,,,
,,,,,
138,0,30,57,2,LD
,,,,,
,,,,,
241,0,7,4,52,LD
93,0,5,7,40,LD
,,,,,
0,0,5,50,1,LD
,,,,,
91,0,25,54,11,LD
,,,,,
97,0,26,52,6,LD
,,,,,
93,0,36,36,0,LD
,,,,,
159,0,29,50,0,LD
103,0,11,52,7,LD
,,,,,
,,,,,
0,0,47,65,10,LD
,,,,,
113,0,32,45,12,LD
,,,,,
0,0,21,49,0,LD
0,0,14,33,10,LD
0,0,510,64,0,LD
23,0,27,52,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
93,0,21,52,5,LD
167,0,18,50,23,LD
0,0,44,55,54,LD
0,0,32,79,102,LD
0,0,12,61,11,LD
0,0,25,44,19,LD
0,0,70,66,0,LD
151,0,34,102,0,LD
63,0,7,50,9,LD
121,0,45,89,29,LD
,,,,,
103,0,47,74,4,LD
37,0,71,73,30,LD
0,0,11,50,71,LD
25,0,34,61,4,LD
0,0,108,71,35,LD
0,0,97,76,0,LD
0,0,126,68,0,LD
,,,,,
45,0,77,92,0,LD
65,0,57,46,42,LD
55,0,50,33,6,LD
99,0,33,72,0,LD
0,3,23,62,9,LD
46,0,10,73,35,LD
0,0,114,116,59,LD
52,0,97,67,0,LD
0,0,19,58,27,LD
30,0,46,60,6,LD
0,0,25,64,4,LD
,,,,,
0,0,21,63,0,LD
,,,,,
64,0,9,73,0,LD
89,0,35,68,30,LD
25,0,45,60,33,LD
0,0,28,72,0,LD
90,0,25,60,53,LD
0,0,31,64,9,LD
0,0,37,72,17,LD
0,1,3,64,35,LD
41,0,78,78,6,LD
87,0,52,100,0,LD
0,0,30,82,0,LD
0,0,26,78,0,LD
0,0,26,72,66,LD
8,0,24,41,7,LD
28,0,31,47,0,LD
67,0,36,41,1,LD
118,0,32,56,0,LD
53,0,66,57,0,LD
36,0,63,64,3,LD
,,,,,
13,0,78,52,23,LD
,,,,,
0,0,24,57,34,LD
59,0,11,80,0,LD
,,,,,
60,0,27,43,20,LD
38,0,13,51,5,LD
,,,,,
33,0,55,71,2,LD
,,,,,
69,0,37,52,8,LD
53,0,26,44,6,LD
86,0,21,35,11,LD
34,0,25,38,10,LD
0,0,37,42,1,LD
0,0,29,62,0,LD
103,0,9,61,0,LD
0,0,36,50,11,LD
53,0,20,76,0,LD
0,0,9,65,0,LD
25,0,18,41,7,LD
0,0,42,67,0,LD
274,0,19,45,42,LD
56,0,49,60,0,LD
77,0,32,60,34,LD
21,0,33,46,3,LD
,,,,,
0,0,9,50,4,LD
166,0,36,58,2,LD
36,0,35,70,0,LD
56,0,42,60,1,LD
50,0,29,71,3,LD
24,0,21,68,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
0,0,55,56,0,LD
,,,,,
,,,,,
43,0,49,51,5,LD
0,0,35,46,0,LD
61,0,34,10,50,LD
50,0,37,54,1,LD
,,,,,
,,,,,
0,0,48,54,4,LD
,,,,,
,,,,,
0,0,37,39,0,LD
51,0,33,50,0,LD
0,0,39,40,0,LD
146,0,40,37,2,LD
54,0,44,44,0,LD
0,0,49,54,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
0,0,49,103,0,LD
,,,,,
0,0,29,48,13,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,31,57,2,LD
0,0,73,49,0,LD
0,0,65,43,0,LD
,,,,,
0,0,60,74,0,LD
0,0,66,107,2,LD
0,0,53,42,0,LD
0,0,53,56,0,LD
15,0,91,72,62,LD
0,0,73,52,87,LD
,,,,,
0,0,69,40,0,LD
0,0,91,67,0,LD
2,0,53,41,0,LD
0,0,51,69,2,LD
2,0,56,55,0,LD
0,0,102,39,0,LD
0,0,133,79,0,LD
0,2,38,51,0,LD
0,0,51,42,0,LD
0,0,73,43,0,LD
0,2,52,88,0,LD
6,0,5,4,65,LD
,,,,,
102,0,48,62,6,LD
,,,,,
56,0,39,55,6,LD
0,0,36,56,0,LD
0,0,22,10,72,LD
,,,,,
,,,,,
0,0,10,7,42,LD
135,0,38,48,26,LD
,,,,,
40,0,38,75,0,LD
47,0,45,57,0,LD
42,0,53,45,17,LD
0,0,57,52,0,LD
0,0,46,70,0,LD
47,0,45,54,7,LD
64,0,12,59,11,LD
0,0,53,69,8,LD
38,0,69,60,7,LD
23,0,61,53,17,LD
0,0,74,52,0,LD
25,0,48,64,11,LD
,,,,,
48,0,51,60,18,LD
0,0,40,43,0,LD
,,,,,
61,0,5,62,0,LD
168,0,69,63,15,LD
144,0,40,66,69,LD
82,0,76,64,20,LD
0,0,50,76,0,LD
,,,,,
0,0,46,53,0,LD
5,0,37,57,0,LD
102,0,42,61,12,LD
,,,,,
0,0,46,73,0,LD
2,0,37,78,79,LD
0,0,50,78,0,LD
,,,,,
,,,,,
72,0,37,59,4,LD
29,0,26,30,67,LD
53,0,6,66,11,LD
61,0,56,70,4,LD
0,0,39,71,0,LD
96,0,40,54,11,LD
0,0,36,71,5,LD
37,0,8,41,14,LD
0,0,47,56,0,LD
6,0,16,3,58,LD
10,0,9,43,12,LD
91,0,8,41,52,LD
0,0,39,36,0,LD
0,0,112,53,0,LD
115,0,22,61,2,LD
,,,,,
0,1,10,52,0,LD
,,,,,
,,,,,
,,,,,
97,0,24,47,5,LD
168,0,30,60,37,LD
0,0,50,28,0,LD
,,,,,
,,,,,
107,0,24,38,0,LD
280,0,11,10,53,LD
15,0,52,28,6,LD
0,1,58,51,5,LD
0,0,87,52,1,LD
0,0,76,111,0,LD
,,,,,
30,0,13,4,49,LD
0,0,47,55,0,LD
,,,,,
,,,,,
43,0,7,45,2,LD
0,0,88,50,0,LD
,,,,,
,,,,,
,,,,,
0,0,79,39,1,LD
0,0,23,12,24,LD
0,0,68,44,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,39,28,0,LD
,,,,,
0,0,46,44,0,LD
,,,,,
47,0,29,50,0,LD
,,,,,
53,0,66,53,0,LD
,,,,,
,,,,,
39,0,49,45,0,LD
0,0,24,50,0,LD
,,,,,
20,0,28,23,33,LD
,,,,,
,,,,,
,,,,,
0,0,7,46,4,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
49,0,7,5,210,LD
0,0,27,42,3,LD
32,0,17,105,0,LD
,,,,,
,,,,,
,,,,,
87,0,10,74,0,LD
,,,,,
,,,,,
0,0,3,16,46,LD
0,0,46,99,0,LD
0,0,59,78,0,LD
,,,,,
0,0,8,39,5,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
9,0,8,33,44,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,53,68,0,LD
0,0,56,106,0,LD
,,,,,
0,2,11,74,0,LD
42,0,3,13,37,LD
44,0,36,66,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
0,0,62,67,0,LD
,,,,,
,,,,,
0,0,5,47,33,LD
0,0,5,53,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,18,28,27,LD
0,0,75,51,0,LD
,,,,,
,,,,,
,,,,,
0,0,32,75,1,LD
45,0,27,33,0,LD
0,0,39,58,0,LD
0,0,40,66,0,LD
73,0,25,57,7,LD
,,,,,
0,0,38,56,0,LD
102,0,15,43,9,LD
0,0,33,63,37,LD
84,0,25,54,25,LD
38,0,31,59,0,LD
93,0,28,53,13,LD
0,0,36,71,1,LD
,,,,,
0,0,24,71,7,LD
107,0,24,57,13,LD
,,,,,
,,,,,
8,0,56,52,5,LD
,,,,,
,,,,,
45,0,50,58,0,LD
0,0,40,58,16,LD
38,0,18,47,22,LD
35,0,27,58,0,LD
100,0,22,74,13,LD
57,0,37,47,15,LD
443,0,10,43,18,LD
,,,,,
30,0,28,39,4,LD
,,,,,
53,0,48,53,14,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
114,0,6,39,19,LD
,,,,,
,,,,,
112,0,5,50,3,LD
92,0,22,50,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
180,0,30,62,1,LD
,,,,,
,,,,,
159,0,9,40,2,LD
21,0,22,53,2,LD
,,,,,
,,,,,
,,,,,
105,0,27,39,10,LD
48,0,32,52,5,LD
,,,,,
60,0,55,39,3,LD
48,0,47,35,0,LD
49,0,25,53,0,LD
34,0,77,49,0,LD
0,0,31,43,0,LD
41,0,29,61,0,LD
,,,,,
,,,,,
18,0,25,46,0,LD
121,0,27,47,9,LD
,,,,,
41,0,17,54,0,LD
,,,,,
,,,,,
19,0,30,22,25,neurotypical
,,,,,
52,0,32,42,0,neurotypical
,,,,,
0,0,40,23,2,neurotypical
,,,,,
0,0,103,45,2,neurotypical
40,0,14,37,2,neurotypical
,,,,,
