density,target_class
61.5234375,1
20.4609375,1
26.3984375,1
22.37109375,1
39.6015625,1
13.88671875,1
27.1796875,1
21.43359375,1
302.8125,1
6.53125,1
39.75,1
4.484375,1
12.62890625,1
171.2773438,1
24.96484375,1
121.484375,1
47.2265625,1
26.4140625,1
17.3828125,1
89.03125,1
24.25,1
122.0273438,1
236.5,1
19.1953125,1
99.75,1
95.29296875,1
133.8476563,1
105.890625,1
108.203125,1
26.8125,1
42.3984375,1
42.4375,1
32.40234375,1
112.4882813,1
25.3125,1
734.921875,1
157,1
80.8515625,1
17.9296875,1
114.5234375,1
78.50390625,1
10.875,1
67.921875,1
78.30078125,1
165.375,1
13.546875,1
156.6875,1
121.875,1
16.76953125,1
19.13671875,1
431.6171875,1
161.3671875,1
219,1
22.8515625,1
39.65625,1
61.0234375,1
20.5234375,1
23.10546875,1
28.84375,1
36.8671875,1
18.046875,1
14.90625,1
10.2421875,1
8.328125,1
121.078125,1
523.25,1
6.5625,1
19.96875,1
15.25,1
15.140625,1
14.625,1
43.83984375,1
45.9375,1
19.890625,1
17.28125,1
21.296875,1
25.25,1
32.9375,1
18.2578125,1
152.1679688,1
22.171875,1
12.90625,1
46.59375,1
23.640625,1
77.625,1
94.4609375,1
41.6875,1
303.4492188,1
127.71875,1
73.125,1
89.578125,1
20.109375,1
42.65625,1
30.80078125,1
11.05078125,1
143.609375,1
10.55859375,1
90.1796875,1
15.53125,1
6.90234375,1
3.609375,1
45.046875,1
60.328125,1
106.8203125,1
45.33984375,1
15.734375,1
35.625,1
11.8671875,1
134,1
262.5117188,1
6.640625,1
81.37890625,1
21.6640625,1
28.25,1
25.0078125,1
13.60546875,1
14.015625,1
12.9609375,1
30.65625,1
47.7265625,1
158.078125,1
145.25,1
47.109375,1
49.5703125,1
45.8671875,1
183.015625,1
27.45703125,1
42.41015625,1
67.91015625,1
85.26953125,1
105,1
58.5703125,1
26.90625,1
14.84375,1
28,1
21.515625,1
11.05078125,1
14.765625,1
26.15625,1
11.80078125,1
30.19140625,1
76.171875,1
23.8359375,1
26.625,1
40.87890625,1
34.33984375,1
34.7890625,1
93.515625,1
25.09375,1
51.828125,1
45.71875,1
31.8828125,1
26.296875,1
33.140625,1
24.08203125,1
15.421875,1
19.125,1
29.0390625,1
14.6875,1
12.9375,1
26.3671875,1
27.87890625,1
46.23828125,1
26.8125,1
70.28125,1
43.41796875,1
11.05078125,1
16.9921875,1
349.375,1
967.4375,1
24,1
42.63671875,1
16.36328125,1
269.53125,1
372.2265625,1
90.234375,1
13.125,1
25.765625,1
69.359375,1
144.3359375,1
16.3515625,1
182.65625,1
