curvature,strokewidth,density,x,y,w,h,distance,letterReversal,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.026998331,29.51466792,1.625,0,0,7,51,1,0,-3.61198023,3.384887357,0,0.485507816,1
0.002933276,33.06932932,1.21875,0,0,7,38,1,0,-5.831635392,3.498606246,0,0.197825743,1
0.003112467,40.0487515,1.3125,0,0,7,42,0,0,-5.77233962,3.690097499,#NAME?,0.271933715,1
0.001182516,23.44121983,0.84375,0,0,7,26,1,0,-6.740110907,3.154496004,0,-0.169899037,1
0.002374799,37.21558813,1.21875,0,0,7,38,1,0,-6.042842477,3.616727709,0,0.197825743,1
0.009337326,21.30104616,0.90625,0,0,7,29,0,0,-4.673735363,3.058756187,#NAME?,-0.098440073,0
0.005131413,27.28427125,0.9375,0,0,7,29,1,0,-5.272374219,3.306310391,0,-0.064538521,0
0,24.63886509,1.15625,0,0,7,37,0,0,#NAME?,3.204325078,#NAME?,0.14518201,0
0.004307959,36.05551275,1.1875,0,0,7,37,1,0,-5.447291037,3.585059772,0,0.171850257,0
0.002493722,37.05259518,1.25,0,0,7,39,1,0,-5.993978905,3.612338395,0,0.223143551,0
0.000245665,22.6163576,1.34375,0,0,7,42,1,0,-8.311541739,3.118673432,0,0.295464213,0
0.003945326,27.11803399,1.75,0,0,7,55,1,0,-5.535223692,3.300198967,0,0.559615788,0
0.070225655,81.88270813,3.09375,0,0,8,87,1,0,-2.656041579,4.405287835,0,1.129383947,1
0.00502495,13.12453521,0.87890625,0,0,8,24,1,0,-5.293339775,2.574483395,0,-0.129077042,1
0.01015501,28.86173938,1.0546875,0,0,8,29,1,0,-4.589788099,3.362516821,0,0.053244515,1
0.001504067,21.37755833,0.80859375,0,0,8,22,1,0,-6.499582507,3.062341696,0,-0.212458651,1
0.414664538,18.8529941,1.265625,0,0,8,35,1,0,-0.880285428,2.936671739,0,0.235566071,1
0.018353585,12.7321246,0.80859375,0,0,8,22,1,0,-3.997930356,2.544128296,0,-0.212458651,1
0.004907075,17.18307494,0.87890625,0,0,8,24,1,0,-5.317077238,2.843924884,0,-0.129077042,1
0.004712772,24.33105012,0.87890625,0,0,8,25,0,0,-5.357479009,3.191753317,#NAME?,-0.129077042,1
0.02128289,10.26818899,0.94921875,0,0,8,26,1,0,-3.849851815,2.329050669,0,-0.052116001,1
0.221558555,14.56923142,1.6171875,0,0,8,46,0,0,-1.507068368,2.678911868,#NAME?,0.480688529,1
0.030163235,11.09750185,0.80859375,0,0,8,22,1,0,-3.50113148,2.406720024,0,-0.212458651,1
0.006404128,19.35496013,0.94921875,0,0,8,26,1,0,-5.050812497,2.962948724,0,-0.052116001,1
0.016619488,15.95741167,1.0546875,0,0,8,29,1,0,-4.097179296,2.769923403,0,0.053244515,1
0.00842142,41.09072203,1.58203125,0,0,8,45,0,0,-4.776976819,3.715782355,#NAME?,0.458709623,1
