curvature,strokewidth,density,x,y,w,h,distance,letterReversal,class
0.001241336,52.46903849,1.8984375,0,0,8,53,1,0,1
0.244521639,25.49571067,1.79296875,0,0,8,50,1,0,1
0.001504825,21.84032967,0.80859375,0,0,8,22,1,0,1
0.004968205,54.08326913,1.96875,0,0,8,55,1,0,1
0.001909427,40.11234224,1.4765625,0,0,8,41,1,0,1
0.000419408,34.86618031,1.37109375,0,0,8,38,1,0,1
0.011573503,52.50454508,1.96875,0,0,8,56,0,0,1
0.005745805,25.3179778,0.94921875,0,0,8,26,1,0,1
0,8.739074458,0.84375,0,0,8,23,1,0,1
0.014972558,8.863126241,0.84375,0,0,8,24,0,0,1
0.000691388,22.71085687,1.58203125,0,0,8,44,1,0,1
0,43.28972164,1.58203125,0,0,8,44,1,0,1
0.002184394,51.70428907,2.07421875,0,0,8,58,1,0,1
0.002753798,29.6245155,1.16015625,0,0,8,33,0,0,1
0.006640201,23.93348343,1.08984375,0,0,8,30,1,0,1
0.013271746,26.67887575,1.08984375,0,0,8,30,1,0,1
0.003818851,42.70521558,1.65234375,0,0,8,46,1,0,1
0.020397636,17.01129178,0.94921875,0,0,8,26,1,0,1
0.009275707,8.331517301,1.40625,0,0,8,39,1,0,1
0.032838603,8.220937882,0.87890625,0,0,8,24,1,0,1
0.002269722,19.13022956,1.1953125,0,0,8,33,1,0,1
0,44.71637464,2.35546875,0,0,8,66,1,0,1
0.011206174,24.04163056,0.87890625,0,0,8,24,1,0,1
0.009647197,37.21558813,1.37109375,0,0,8,38,1,1,1
0.001491719,31.58082765,2.0390625,0,0,8,58,0,1,1
0.088993654,4.791188128,0.80859375,0,0,8,23,0,1,1
0.001316949,44.25138099,1.65234375,0,0,8,46,1,1,1
0.000203824,43.18564576,1.58203125,0,0,8,44,1,1,1
0.001689008,20.22374842,1.4765625,0,0,8,41,1,1,1
0.044654376,13.81573221,1.16015625,0,0,8,32,1,1,1
0.001527176,21.58703314,0.80859375,0,0,8,22,1,1,1
0.002728905,22.70098452,1.44140625,0,0,8,40,1,,1
0.002488077,41.61380007,1.65234375,0,0,8,47,0,,1
0.001580915,28.63564213,1.0546875,0,0,8,29,1,,1
0.002940467,21.84032967,0.80859375,0,0,8,22,1,,0
0.011306646,24.18677324,0.9140625,0,0,8,25,1,,0
0.031772057,13.62273341,0.9140625,0,0,8,25,1,,0
0.001087782,16.27903997,1.01953125,0,0,8,28,1,,0
0.000806461,28.0713377,1.0546875,0,0,8,29,1,,0
0.009824569,29.15475947,1.08984375,0,0,8,30,1,,0
0.270505215,16.27726546,1.1953125,0,0,8,33,1,,0
0.004419382,33.13608305,1.23046875,0,0,8,34,1,,0
0.000271888,36.12478374,1.3359375,0,0,8,37,1,,0
0.001384704,19.67874518,1.37109375,0,0,8,38,1,,0
0.003722937,39.3192065,1.44140625,0,0,8,40,1,,0
0.002873231,42.57933771,1.546875,0,0,8,43,1,,0
0.000836641,49.36598019,1.79296875,0,0,8,50,1,,0
0.005621936,54.08326913,1.96875,0,0,8,55,1,,0
0.001057466,42.54837211,2.07421875,0,0,8,58,1,,0
0,50.6359556,2.03125,0,0,9,51,1,0,1
0.265136016,37.19576149,2.9296875,0,0,9,74,1,0,1
0.001632573,56.99540595,3.0078125,0,0,9,76,1,0,1
0.081901015,25.41521989,1.875,0,0,9,47,1,0,1
0.005005524,14.11187421,0.859375,0,0,9,21,1,0,1
