x,y,w,h,distance,class
0,0,44,97,1,LD
0,0,34,53,1,LD
0,0,31,66,0,LD
0,0,23,58,1,LD
0,0,43,53,1,LD
0,0,12,91,1,LD
0,0,71,47,1,LD
0,0,70,96,1,LD
0,0,57,60,1,LD
0,0,50,32,0,LD
0,0,25,48,1,LD
0,0,40,54,1,LD
0,0,40,88,1,LD
0,0,44,66,1,LD
0,0,29,52,1,LD
0,0,48,93,1,LD
0,0,37,5,1,LD
0,0,32,61,1,LD
0,0,43,63,1,LD
0,0,42,72,1,LD
0,0,69,62,1,LD
0,0,63,64,1,LD
0,0,46,65,1,LD
0,0,23,19,1,LD
0,0,12,82,0,LD
0,0,58,87,1,LD
0,0,41,69,1,LD
0,0,6,87,1,LD
0,0,8,29,1,LD
0,0,11,20,1,LD
0,0,15,47,1,LD
0,0,29,18,0,LD
0,0,12,15,1,LD
0,0,64,63,1,LD
0,0,63,69,1,LD
0,0,39,16,1,LD
0,0,36,79,1,LD
0,0,30,8,1,LD
0,0,31,65,1,LD
0,0,50,68,0,LD
0,0,44,74,1,LD
0,0,60,69,1,LD
0,0,63,72,1,LD
0,0,17,48,1,LD
0,0,40,44,1,LD
0,0,46,51,1,LD
0,0,50,62,1,LD
0,0,13,22,1,LD
0,0,10,36,1,LD
0,0,27,57,1,LD
0,0,23,16,1,LD
0,0,14,15,1,LD
0,0,74,89,1,LD
0,0,43,85,1,LD
0,0,19,24,0,LD
0,0,30,82,1,LD
0,0,44,71,1,LD
0,0,14,14,0,LD
0,0,23,42,1,LD
0,0,41,76,1,LD
0,0,15,50,1,LD
0,0,45,72,1,LD
0,0,49,73,1,LD
0,0,37,27,1,LD
0,0,32,60,1,LD
0,0,56,59,1,LD
0,0,53,66,1,LD
0,0,13,32,0,LD
0,0,43,54,1,LD
0,0,35,93,0,LD
0,0,44,62,1,LD
0,0,39,79,0,LD
0,0,12,60,1,LD
0,0,36,58,1,LD
0,0,34,19,0,LD
0,0,58,50,1,LD
0,0,24,16,1,LD
0,0,14,50,1,LD
0,0,30,51,1,LD
0,0,29,52,1,LD
0,0,65,88,1,LD
0,0,55,75,1,LD
0,0,57,85,1,LD
0,0,49,6,1,LD
0,0,42,90,1,LD
0,0,15,86,1,LD
0,0,22,54,1,LD
0,0,40,71,1,LD
0,0,36,82,1,LD
0,0,38,67,1,LD
0,0,26,10,1,LD
0,0,43,71,1,LD
0,0,70,59,1,LD
0,0,52,57,1,LD
0,0,36,51,1,LD
0,0,45,53,0,LD
0,0,11,38,1,LD
0,0,42,58,1,LD
0,0,36,6,1,LD
0,0,24,30,0,LD
0,0,47,86,1,LD
0,0,63,5,1,LD
0,0,54,6,1,LD
0,0,58,79,1,LD
0,0,76,6,1,LD
0,0,18,64,0,LD
0,0,63,32,1,LD
0,0,21,21,1,LD
0,0,31,6,1,LD
0,0,43,56,0,LD
0,0,58,95,1,LD
0,0,16,71,0,LD
0,0,72,85,1,LD
0,0,27,78,1,LD
0,0,35,64,1,LD
0,0,33,74,1,LD
0,0,38,11,1,LD
0,0,10,48,1,LD
0,0,7,83,1,LD
0,0,56,88,1,LD
0,0,40,27,0,LD
0,0,52,77,1,LD
0,0,50,77,1,LD
0,0,30,66,1,LD
0,0,29,68,1,LD
0,0,19,20,1,LD
0,0,20,67,1,LD
0,0,38,73,1,LD
0,0,27,63,1,LD
0,0,9,20,1,LD
0,0,32,44,1,LD
0,0,55,61,1,LD
0,0,47,45,0,LD
0,0,29,45,1,LD
0,0,9,34,1,LD
0,0,16,39,1,LD
0,0,18,34,1,LD
0,0,34,38,1,LD
0,0,43,59,1,LD
0,0,34,52,0,LD
0,0,27,61,1,LD
0,0,14,75,1,LD
0,0,34,58,1,LD
0,0,23,20,1,LD
0,0,65,85,1,LD
0,0,12,17,1,LD
0,0,17,86,1,LD
0,0,13,19,1,LD
0,0,13,76,1,LD
0,0,37,12,0,LD
0,0,13,86,1,LD
0,0,22,62,1,LD
0,0,52,97,1,LD
0,0,28,10,1,LD
0,0,44,64,1,LD
0,0,27,52,1,LD
0,0,26,9,1,LD
0,0,5,33,1,LD
0,0,7,76,1,LD
0,0,62,60,1,LD
0,0,34,10,0,LD
0,0,46,41,1,LD
0,0,20,50,1,LD
0,0,30,44,1,LD
0,0,9,37,1,LD
0,0,8,22,1,LD
0,0,34,53,1,LD
0,0,29,25,1,LD
0,0,10,30,1,LD
0,0,21,47,1,LD
0,0,37,76,1,LD
0,0,8,35,1,LD
0,0,15,50,1,LD
0,0,55,16,1,LD
0,0,51,83,1,LD
0,0,33,48,1,LD
0,0,32,23,0,LD
0,0,16,36,1,LD
0,0,34,46,1,LD
0,0,28,20,1,LD
0,0,45,62,1,LD
0,0,33,20,1,LD
0,0,42,36,1,LD
0,0,28,15,1,LD
0,0,33,52,1,LD
0,0,39,39,1,LD
0,0,14,19,1,LD
0,0,17,30,0,LD
0,0,12,24,1,LD
0,0,16,23,1,LD
0,0,23,19,1,LD
0,0,16,22,1,LD
0,0,16,30,1,LD
0,0,11,18,1,LD
0,0,15,25,0,LD
0,0,19,24,1,LD
0,0,18,39,0,LD
0,0,19,35,1,LD
0,0,16,23,1,LD
0,0,21,27,1,LD
0,0,17,28,1,LD
0,0,37,41,0,LD
0,0,24,21,1,LD
0,0,15,20,1,LD
0,0,15,26,1,LD
0,0,14,19,1,LD
0,0,19,32,1,LD
0,0,22,31,0,LD
0,0,34,21,1,LD
0,0,16,26,1,LD
0,0,17,29,1,LD
0,0,15,30,1,LD
0,0,17,23,1,LD
0,0,19,21,1,LD
0,0,26,22,0,LD
0,0,16,30,1,LD
0,0,15,27,0,LD
0,0,20,18,1,LD
0,0,14,20,1,LD
0,0,17,18,1,LD
0,0,19,25,0,LD
0,0,15,25,0,LD
0,0,24,18,1,LD
0,0,16,23,1,LD
0,0,13,18,1,LD
0,0,15,17,1,LD
0,0,15,20,1,LD
0,0,8,22,1,LD
0,0,16,17,1,LD
0,0,17,23,1,LD
0,0,13,22,1,LD
0,0,14,19,1,LD
0,0,20,23,1,LD
0,0,15,17,1,LD
0,0,22,22,1,LD
0,0,17,16,1,LD
0,0,17,16,1,LD
0,0,17,18,1,LD
0,0,18,13,1,LD
0,0,15,16,1,LD
0,0,30,8,1,LD
0,0,14,17,1,LD
0,0,18,22,1,LD
0,0,17,20,1,LD
0,0,14,19,1,LD
0,0,16,22,1,LD
0,0,18,21,1,LD
0,0,12,19,1,LD
0,0,20,20,1,LD
0,0,21,20,1,LD
0,0,16,19,1,LD
0,0,18,15,1,LD
0,0,12,18,1,LD
0,0,18,21,1,LD
0,0,11,16,1,LD
0,0,19,19,1,LD
