curvature,strokewidth,density,x,y,w,h,distance,class
0.145675675,61.63084779,32.8125,0,0,58,79,61,1
0.000683105,40.46318782,17.47265625,0,0,61,71,0,1
0.335587892,56.82582716,20.1171875,0,0,48,103,0,1
0.417516871,36.46306276,31.9921875,72,0,31,60,18,1
0.004182677,48.70547578,13.58984375,0,0,47,71,0,1
0.302215851,41.99513274,58.9375,,,,,,1
0.339955025,28.41960554,74.9609375,174,0,26,57,38,1
0.061182151,35.38782726,36.65625,0,0,39,50,1,1
0.003574066,52.70522095,29.2578125,0,0,52,70,0,1
0.005895743,31.71678449,18.26171875,35,0,48,46,9,1
0.003066909,30.31412815,10.15625,0,0,50,50,0,1
0.164372492,45.43991816,45.1640625,0,0,57,82,0,1
0.209998999,36.6216329,75.19921875,,,,,,1
0.253741254,39.24702453,73.125,151,0,55,64,26,1
0.008724352,36.23581669,12.55078125,14,0,47,51,0,1
0.327176722,29.22146276,83.203125,208,0,48,68,3,1
0.401698341,40.00787212,146.8125,328,0,18,54,54,1
0.314195119,41.80014538,126.1210938,24,0,10,7,76,1
0.326877555,49.32296996,103.3203125,0,0,65,115,0,1
0.240878308,28.07560867,40.734375,116,0,40,58,8,1
0.002673188,49.90274666,68.25390625,119,0,52,85,16,1
0.00637459,29.45431431,8.96484375,0,0,49,45,0,1
0.10655324,28.90942564,102.09375,,,,,,1
0.537871559,8.359883285,70.875,,,,,,1
0.492634813,11.752529,156.40625,,,,,,1
0.104718966,20.45594419,68.859375,,,,,,1
0.172487087,10.53908682,93.328125,,,,,,1
0.250378914,15.46562103,82.8125,,,,,,1
0.264853117,15.3613301,109.8632813,,,,,,1
0.287849124,23.51128234,230.9570313,,,,,,1
0.374900666,12.97897656,123.8359375,,,,,,1
0.144287455,25.50612193,25.83984375,,,,,,1
0.269220002,15.85196351,59.125,,,,,,1
0.12785816,12.38115838,192.2109375,,,,,,1
0.296600618,15.05990941,127.6171875,,,,,,1
0.012622546,42.73197481,16.96484375,0,0,41,101,0,1
0.300398197,20.36648412,219.375,,,,,,1
0.234406175,24.26095436,104.609375,,,,,,1
0.022012649,42.35394864,55.6171875,,,,,,1
0.263922285,18.85629771,262.3359375,,,,,,1
0.217609244,20.66626611,97.84375,,,,,,1
0.259456353,12.07761645,193.5351563,,,,,,1
0.046300993,23.8152283,20.51953125,0,0,29,33,70,1
0.252216176,18.83308886,112.625,,,,,,1
0.128175948,17.18158913,372.875,,,,,,1
0.319128616,17.69604331,69.5625,,,,,,1
0.010821637,45.31220452,10.140625,0,0,42,59,0,1
0.459708439,12.84532115,267.6328125,,,,,,1
0.218732507,29.86991885,203.6640625,,,,,,1
0.356293333,15.4974047,144.375,,,,,,1
0.314301832,12.48519527,152.2148438,,,,,,1
0.191873586,29.48031642,13.7734375,,,,,,1
0.490630281,13.72727293,206.71875,,,,,,1
