curvature,target_class
0.011608925,1
0.001762199,1
0.282129469,1
0.013640823,1
0.003112146,1
0.007063797,1
0.003374202,1
0.0088751,1
0.361363916,1
0.333926056,1
0.07631873,1
0.004131514,1
0.003503625,1
0.003296965,1
0.000936383,1
0.000586783,1
0.000589047,1
0.070225655,1
0.010349143,1
0.314457844,1
0.011847627,1
0.009647197,1
0.026482999,1
0.017908161,1
0.002590579,1
0.025378574,1
0.001313483,1
0.010929472,1
0.001469241,1
0.003468929,1
0.000752898,1
0.010086402,1
0.006866905,1
0.002857962,1
0.004162244,1
0.468139692,1
0.007214663,1
0.002212505,1
0.008915265,1
0.337240781,1
0.008403192,1
0.002343403,1
0.006021999,1
0.00325858,1
0.223997065,1
0.00614479,1
0.019318761,1
0.36933798,1
0.005366243,1
0.013605567,1
0.00145478,1
0.005973555,1
0.001616,1
0.013703616,1
0.048995537,1
0.00430542,1
0.006223051,1
0.005615441,1
0.003348248,1
0.244445661,1
0.004772518,1
0.371677699,1
0.008368297,1
0,1
0.005775503,1
0.008557483,1
0.00308136,1
0.46593248,1
0.279679987,1
0.408484391,1
0.489080959,1
0.002610687,1
0.425105385,1
0.511394902,1
0.008685008,1
0.015951765,1
0.006162183,1
0.010564569,1
0.194340851,1
0.001177293,1
0.227867426,1
0.043350734,1
0.311491879,1
0.548718666,1
0.003268267,1
0.00152401,1
0.001023665,1
0,1
0.018468482,1
0.002222469,1
0.422190869,1
0.00021304,1
0.001741076,1
0,1
0.000193241,1
0.41546076,1
0.003040707,1
0.006987577,1
0.24302049,1
0.008010939,1
0.000369145,1
0.005355202,1
0.009504818,1
0.303939967,1
0.35899679,1
0.35241048,1
0.005819544,1
0.010062046,1
0.000697738,1
0.008451528,1
0.293998407,1
0.001869629,1
0.466009062,1
0.002141745,1
0.326447305,1
0.437892123,1
0.310209422,1
0.006864409,1
0.005971445,1
0.010465923,1
0.20246088,1
0.006086788,1
0.008659612,1
0.006918507,1
0.002025852,1
0,1
0.001227804,1
0.001491719,1
0.002019757,1
0.242444273,1
0.42867281,1
0.004182677,1
0.344279368,1
0.000493391,1
0.232683984,1
0.356399236,1
0.005496014,1
0.0557984,1
0.429482601,1
0.044207659,1
0.446268716,1
0.026618725,1
0.005925193,1
0.008536912,1
0.01328676,1
0.004132049,1
0.008690556,1
0.00354885,1
0.002749001,1
0.004964422,1
0.00105753,1
0.003066909,1
0.003089361,1
0.002723507,1
0.001440584,1
0.029880926,1
0.032226537,1
0.001741688,1
0.006978237,1
0.002006118,1
0.282732817,1
0.00444258,1
0.023878135,1
0.002593165,1
0.007347392,1
0.000245178,1
0.252169669,1
0.00738158,1
0.001043983,1
0.000799779,1
0.006164253,1
0.011776552,1
0.012647543,1
0,1
0.007621491,1
0.002401316,1
0.017076024,1
0.005910864,1
0.005355297,1
0.002291185,1
0.001392847,1
0.006440966,1
0.008479073,1
0.21121533,1
0.001317082,1
0.001219986,1
0.002358607,1
0.010516643,1
0.001579294,1
0.00637459,1
0.00943644,1
0.270862523,1
0.269506046,1
0.001024836,1
0.023258214,1
0.008323953,1
0.001334773,1
0.003356518,1
0.01119833,1
0.00497069,1
0.002245116,1
0.084203529,1
0.031363018,1
0.376208758,1
0.003265991,1
0.034102166,1
0.034087611,1
0.007243037,1
0.01833328,1
0.223490815,1
0.081901015,1
0.010257892,1
0.00141564,1
0.046447631,1
0.031121494,1
0.005005524,1
0.003184721,1
0.013322561,1
0.070710168,1
0.127143188,1
0.040889703,1
0.027245735,1
0.100479807,1
0.012885863,1
0.016338327,1
0.379964158,1
0.011669154,1
0.291187253,1
0.011741777,1
0.003508687,1
0.037695096,1
0.247174689,1
0.027997622,1
0.008992657,1
