density,target_class
10.140625,1
8.578125,1
10.15625,1
1.0546875,1
7.8671875,1
1.16015625,1
13.5625,1
14,1
13.5,1
5.17578125,1
1.0390625,1
1.50390625,1
27.5390625,1
5.09765625,1
4.984375,1
5.0390625,1
1.08984375,1
1.08984375,1
18.4375,1
2.0390625,1
17.1953125,1
11.484375,1
7.625,1
13.3125,1
10.875,1
7.875,1
23.0625,1
11.2890625,1
7.46484375,1
0.9296875,1
6.75,1
1.0546875,1
6.1171875,1
1.06640625,1
7.96875,1
7.21875,1
7.171875,1
0.875,1
0.84375,1
14.4921875,1
7.59375,1
3.41796875,1
8.99609375,1
9.9609375,1
18.578125,1
2.640625,1
18.1640625,1
15.68359375,1
10.765625,1
1.890625,1
14.21875,1
9.5625,1
13.59375,1
1.67578125,1
13.3984375,1
2.58984375,1
20.70703125,1
