curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.010821637,45.31220452,10.140625,0,0,42,59,0,-4.526207723,3.813576412,#NAME?,2.316549633,1
0.095894791,38.73394268,110.3320313,0,0,49,72,33,-2.344503616,3.656716287,3.496507561,4.703494286,1
0.004570345,44.45692693,24.609375,0,0,48,126,0,-5.388166585,3.794520786,#NAME?,3.203127468,1
0.053755784,5.866340966,8.3828125,0,0,11,17,12,-2.923304008,1.769231095,2.48490665,2.126183479,1
0.004455029,11.15515827,22.546875,39,0,18,34,5,-5.413721709,2.411902016,1.609437912,3.115596475,1
0.004385713,11.65426737,23.375,0,0,14,26,18,-5.429403067,2.455672411,2.890371758,3.151667075,1
0.010357789,7.902614447,13.8046875,26,0,17,29,9,-4.570016482,2.067193647,2.197224577,2.625008208,1
0.018301987,9.936104622,10.5703125,0,0,17,23,10,-4.000745646,2.296175055,2.302585093,2.358049364,1
0.036833808,6.710015509,11.23046875,12,0,19,24,1,-3.30133916,1.903601262,0,2.418630509,1
0.077149493,10.3956313,36.09375,5,0,138,29,4,-2.562010272,2.341385651,1.386294361,3.58611972,1
0.061111323,13.38965702,22.65625,0,0,112,29,0,-2.795058111,2.594482545,#NAME?,3.120435752,1
0.050257883,6.313444917,17.0859375,0,0,162,27,0,-2.990587869,1.842681473,#NAME?,2.838255757,1
0.004415069,6.461217757,12.203125,0,0,10,19,3,-5.422731817,1.865817807,1.098612289,2.501692066,1
0.004695621,7.270023967,9.7265625,27,0,13,19,11,-5.361124907,1.983759588,2.397895273,2.274860545,1
0.009833672,6.572617646,8.765625,0,0,9,17,5,-4.621942864,1.882912177,1.609437912,2.170837822,1
0.007564022,8.366996264,10.828125,49,0,15,22,0,-4.88435222,2.124294951,#NAME?,2.382146916,1
0.035070175,9.095813394,8.078125,49,0,15,22,0,-3.350404225,2.207814241,#NAME?,2.089159791,1
0.050162191,5.995166452,7.421875,27,0,7,17,8,-2.992493703,1.790953553,2.079441542,2.004431721,1
0.069464995,10.09493764,16.50390625,0,0,169,25,0,-2.666932322,2.312034074,#NAME?,2.803597095,1
0.055349224,12.96067753,12.4609375,0,0,108,29,0,-2.89409264,2.561919968,#NAME?,2.522598751,1
