curvature,strokewidth,density,x,y,w,h,distance,class
0.269390558,41.30568858,92.70703125,0,0,48,130,65,0
0.41659539,23.8210009,3.875,56,62,3,57,26,0
0.227362146,24.57777078,10.546875,151,59,41,128,94,0
0.102823249,37.98756413,3.375,93,58,51,69,34,0
0.003240431,27.62263425,14.953125,0,3,59,119,29,0
0.23535964,35.28672098,22.96875,59,0,8,87,6,0
0.412453267,22.87992203,34,94,52,41,58,51,0
0.196834973,20.06326431,88.3046875,215,51,42,64,56,0
0.27663494,22.35790854,6.125,170,45,27,65,51,0
0.190205649,35.47108866,6.2890625,279,37,54,82,60,0
0.480907855,30.1206971,31.83984375,160,21,5,88,50,0
0.26065447,34.36378179,29.6484375,231,9,9,23,27,0
0.2536893,30.08865561,12.01171875,0,1,58,110,52,0
0.442048406,29.718593,44.625,168,0,6,37,22,0
0.411514909,31.44165404,6.5625,0,79,37,38,58,0
0.346922973,20.2540602,10,396,63,41,55,59,0
0.239550905,21.59668934,12.12890625,278,59,40,54,54,0
0.240571785,30.26012212,9.86328125,347,51,37,66,58,0
0.156914113,18.96327498,38.5078125,199,38,74,77,56,0
0.172534112,15.46494583,5.15625,127,38,39,69,48,0
0.117481709,24.1869789,80.7421875,72,37,48,69,47,0
0.20170653,21.02782205,24.921875,9,0,55,96,37,0
0.285371931,25.58984393,4.23828125,59,62,40,45,47,0
0.115502804,17.93864221,14.87109375,125,54,46,67,61,0
0.352241103,23.62079445,26.89453125,0,0,36,115,55,0
0.331561176,22.77071906,15.234375,120,90,29,51,65,0
0.221746018,28.72886956,33.6015625,216,80,20,57,61,0
0.216567803,33.39095085,39.703125,168,80,39,54,58,0
0.414279965,24.61448718,31.67578125,74,78,39,50,52,0
0.235277443,21.38429598,15.17578125,235,77,44,65,66,0
0.271473044,28.87504376,49.59375,0,0,60,153,77,0
0.251592391,23.74754691,44.3359375,0,0,81,116,58,0
0.223854168,27.08534928,12.375,300,77,8,7,15,0
0.131939704,33.65412044,59.75,252,77,43,62,70,0
0.3426758,25.40351242,18.703125,298,71,60,67,69,0
0.364879944,27.13238603,5.05859375,88,38,83,93,62,0
0.007491978,25.29494309,21.62109375,58,38,28,81,50,0
0.312021132,24.21577838,24.52734375,0,36,40,82,49,0
0.226485101,24.16594307,330.7148438,184,0,39,136,67,0
0.240671103,28.29689682,41.640625,0,48,73,65,57,0
0.273646694,33.25031663,32.8125,144,44,36,55,43,0
0.190078935,28.49193139,47.953125,186,39,39,70,53,0
0.535672553,24.10629597,49.1484375,93,0,39,105,49,0
0.009637751,42.63168473,14.609375,0,39,35,45,28,0
0.013037284,29.28934018,17.96875,95,35,55,77,56,0
0.017963349,24.32701927,14.94140625,58,32,41,56,32,0
0.23327545,28.05149886,62.34375,155,0,59,94,38,0
0.272659277,23.02071104,2.9453125,56,49,47,64,52,0
0.277084464,26.51783634,10.3359375,0,41,38,81,61,0
0.157336999,32.17158173,9.375,111,0,53,106,45,0
0.019720766,23.07934582,11.8828125,0,0,68,100,50,0
0.265013388,28.21470963,40.44140625,33,4,83,21,11,0
0.292652884,25.1891909,8.9609375,0,0,25,29,15,0
0.027201589,35.31134975,4.8984375,0,0,39,61,31,0
0.190626654,27.16734905,6.57421875,0,27,37,34,31,0
0.334197049,21.92868134,22.28125,61,6,9,52,28,0
0.375442061,17.66010841,58.7578125,96,0,39,59,29,0
