x,y,w,h,Distance Bottom,Distance Top,area,Target Class
139,32,14,7,27.0,59.0,36.5,LD
35,16,9,33,17.0,33.0,74.5,LD
89,5,8,8,53.0,58.0,22.0,LD
36,5,6,9,52.0,57.0,23.5,LD
366,113,44,59,81.0,32.0,277.0,LD
339,113,10,3,25.0,88.0,16.0,LD
293,113,19,5,27.0,86.0,47.0,LD
215,113,28,17,39.0,74.0,92.5,LD
249,112,8,14,35.0,77.0,66.5,LD
310,91,8,17,17.0,74.0,44.0,LD
132,82,6,27,18.0,64.0,43.5,LD
164,63,13,45,17.0,46.0,192.0,LD
369,55,24,19,17.0,72.0,109.0,LD
0,49,48,52,10.0,39.0,395.5,LD
279,47,62,61,17.0,30.0,636.5,LD
56,43,40,67,19.0,24.0,624.5,LD
400,26,12,82,17.0,9.0,266.5,LD
158,23,10,18,50.0,73.0,86.0,LD
124,9,4,81,1.0,10.0,177.5,LD
204,8,52,100,17.0,9.0,775.0,LD
241,0,7,4,87.0,87.0,16.5,LD
192,95,12,5,45.0,50.0,25.0,LD
0,70,20,12,27.0,43.0,51.5,LD
241,27,31,59,31.0,4.0,1214.0,LD
116,24,28,50,19.0,5.0,233.0,LD
42,24,43,66,35.0,11.0,2109.0,LD
0,23,19,7,25.0,48.0,49.0,LD
281,19,43,61,25.0,6.0,451.0,LD
172,0,47,92,37.0,37.0,438.0,LD
14,0,16,81,26.0,26.0,305.0,LD
163,12,62,62,28.0,16.0,672.5,LD
78,11,68,60,25.0,14.0,752.5,LD
230,4,45,63,21.0,17.0,520.5,LD
26,4,41,71,29.0,25.0,356.0,LD
334,0,44,52,6.0,6.0,550.5,LD
294,0,28,60,14.0,14.0,490.0,LD
492,109,38,14,30.0,79.0,133.5,LD
34,109,48,67,83.0,26.0,374.5,LD
687,105,29,6,18.0,87.0,68.5,LD
465,98,5,7,12.0,86.0,15.5,LD
179,87,18,13,7.0,80.0,49.0,LD
485,86,13,19,12.0,74.0,63.5,LD
388,62,40,43,12.0,50.0,318.5,LD
374,59,17,46,12.0,47.0,301.5,LD
425,56,44,41,4.0,52.0,306.5,LD
485,45,46,59,11.0,34.0,405.0,LD
200,39,22,59,5.0,34.0,414.0,LD
13,38,65,67,12.0,26.0,2435.0,LD
732,37,31,61,5.0,32.0,388.5,LD
138,33,44,63,3.0,30.0,1251.0,LD
87,33,43,72,12.0,21.0,529.5,LD
219,28,43,64,1.0,29.0,413.5,LD
678,26,30,77,10.0,16.0,667.5,LD
280,2,56,103,12.0,10.0,1020.0,LD
612,1,55,102,10.0,9.0,621.5,LD
552,1,38,102,10.0,9.0,442.0,LD
385,113,17,23,63.0,50.0,65.5,LD
147,113,21,14,54.0,59.0,95.5,LD
275,102,8,6,35.0,67.0,15.0,LD
26,91,10,19,37.0,54.0,94.0,LD
397,90,10,19,36.0,54.0,78.5,LD
280,90,4,10,27.0,63.0,20.5,LD
81,75,9,35,37.0,38.0,161.5,LD
70,66,8,16,9.0,57.0,40.5,LD
96,51,27,56,34.0,17.0,473.5,LD
67,27,11,20,26.0,53.0,108.5,LD
372,26,40,62,15.0,11.0,460.0,LD
295,17,69,87,31.0,14.0,2028.5,LD
132,11,34,98,36.0,25.0,550.0,LD
16,11,47,99,37.0,26.0,634.5,LD
181,9,52,100,36.0,27.0,832.0,LD
244,8,47,100,35.0,27.0,779.5,LD
266,0,9,4,69.0,69.0,14.5,LD
73,75,14,14,40.0,35.0,80.0,LD
83,30,23,41,22.0,8.0,181.5,LD
187,11,13,48,10.0,1.0,193.5,LD
0,11,18,58,20.0,9.0,176.0,LD
299,8,102,60,19.0,11.0,944.0,LD
33,1,44,70,22.0,21.0,1060.5,LD
231,0,38,65,16.0,16.0,458.0,LD
120,0,39,66,17.0,17.0,508.0,LD
0,111,35,26,63.0,48.0,175.5,LD
169,108,12,31,65.0,43.0,120.5,LD
480,77,6,14,17.0,60.0,22.0,LD
474,56,2,27,9.0,47.0,14.0,LD
215,51,42,53,30.0,21.0,346.0,LD
95,45,55,59,30.0,15.0,1451.5,LD
433,40,11,58,24.0,16.0,242.0,LD
154,39,53,65,30.0,9.0,608.5,LD
53,38,32,58,22.0,16.0,516.5,LD
458,35,18,7,32.0,67.0,57.0,LD
328,35,44,61,22.0,13.0,572.5,LD
0,34,39,72,32.0,2.0,569.0,LD
480,30,35,27,17.0,47.0,102.5,LD
375,25,39,78,29.0,4.0,656.0,LD
286,10,37,93,29.0,19.0,585.0,LD
431,4,9,15,55.0,59.0,66.5,LD
155,0,30,2,72.0,72.0,14.5,LD
95,109,24,14,55.0,54.0,97.0,LD
41,109,32,18,59.0,50.0,172.0,LD
117,97,5,8,37.0,60.0,18.5,LD
91,56,58,49,37.0,19.0,453.0,LD
245,54,13,49,35.0,19.0,212.5,LD
326,51,29,51,34.0,17.0,295.0,LD
273,45,30,50,27.0,18.0,457.0,LD
234,17,8,11,40.0,57.0,52.5,LD
27,5,50,100,37.0,32.0,566.0,LD
173,4,59,100,36.0,32.0,2611.0,LD
